id,app,price
715,Tresom,$8.13
716,Duobam,$4.17
717,Vagram,$5.81
718,Overhold,$4.46
719,Voyatouch,$1.77
720,Cookley,$1.57
721,Bitchip,$2.48
722,Alpha,$8.88
723,Duobam,$1.65
724,Mat Lam Tam,$3.85
725,Quo Lux,$8.09
726,Bytecard,$1.80
727,Tampflex,$9.11
728,Zoolab,$9.77
729,Keylex,$8.97
730,Latlux,$8.95
731,Sonair,$4.60
732,Sub-Ex,$6.05
733,Gembucket,$3.69
734,Zoolab,$9.60
735,Zaam-Dox,$4.77
736,Tres-Zap,$4.30
737,Cardguard,$3.52
738,Zamit,$6.40
739,Pannier,$8.74
740,Sonsing,$4.04
741,Andalax,$4.82
742,Konklux,$2.30
743,Bamity,$0.12
744,Voltsillam,$0.70
745,Kanlam,$2.77
746,Domainer,$1.03
747,Kanlam,$2.01
748,Stronghold,$3.73
749,Wrapsafe,$4.90
750,Zaam-Dox,$1.96
751,Alpha,$7.75
752,Lotstring,$7.01
753,Overhold,$5.73
754,Zamit,$6.57
755,Home Ing,$9.21
756,Keylex,$1.35
757,Bytecard,$4.93
758,Sonsing,$9.08
759,Flexidy,$1.77
760,Stringtough,$1.05
761,Pannier,$3.69
762,Latlux,$2.08
763,Alpha,$2.50
764,Tresom,$6.07
765,Domainer,$7.38
766,Wrapsafe,$5.20
767,Bitwolf,$8.10
768,Y-Solowarm,$0.10
769,Hatity,$2.49
770,Veribet,$4.61
771,Tin,$6.00
772,It,$3.97
773,Alpha,$3.50
774,Ventosanzap,$6.47
775,Home Ing,$1.62
776,Voltsillam,$5.80
777,Zamit,$1.71
778,Asoka,$9.07
779,Flowdesk,$6.76
780,Subin,$4.70
781,Tin,$5.23
782,Konklux,$0.91
783,Subin,$6.71
784,Asoka,$6.37
785,Hatity,$5.46
786,Ventosanzap,$2.42
787,Subin,$7.02
788,Lotlux,$0.10
789,Cardguard,$0.23
790,Overhold,$9.57
791,Cardguard,$1.83
792,Prodder,$1.22
793,Stronghold,$8.22
794,Biodex,$9.85
795,Stim,$4.60
796,Bamity,$2.31
797,Trippledex,$1.07
798,Temp,$9.76
799,Prodder,$0.25
800,Y-Solowarm,$4.98
801,Temp,$8.34
802,Subin,$5.99
803,Stronghold,$6.15
804,Fixflex,$9.29
805,Opela,$0.09
806,Matsoft,$3.70
807,Bigtax,$1.00
808,Stronghold,$6.87
809,Transcof,$0.56
810,Tempsoft,$9.87
811,Fintone,$2.87
812,Cookley,$7.43
813,Bytecard,$6.96
814,Stronghold,$3.80
815,Aerified,$8.49
816,Ronstring,$6.02
817,Cardguard,$9.38
818,Gembucket,$6.17
819,Konklux,$9.16
820,Stronghold,$9.41
821,Duobam,$4.28
822,Rank,$7.16
823,Stringtough,$6.46
824,Tin,$8.86
825,Zoolab,$6.57
826,Namfix,$4.88
827,Viva,$3.32
828,Mat Lam Tam,$3.15
829,Zaam-Dox,$4.70
830,Biodex,$6.70
831,Cookley,$7.79
832,Mat Lam Tam,$1.86
833,Tin,$9.37
834,Stim,$5.65
835,Lotlux,$9.87
836,Sonsing,$3.19
837,Kanlam,$2.29
838,Asoka,$1.97
839,Tres-Zap,$7.59
840,Stronghold,$6.16
841,Andalax,$6.27
842,Stronghold,$7.29
843,Sonair,$8.99
844,Latlux,$7.97
845,Pannier,$0.01
846,Fix San,$9.74
847,Fixflex,$9.92
848,Temp,$5.90
849,Flowdesk,$4.15
850,Tin,$3.92
851,Konklux,$7.25
852,Opela,$9.99
853,Stim,$5.92
854,Konklab,$6.43
855,Flowdesk,$4.53
856,Hatity,$8.58
857,Zathin,$1.00
858,Quo Lux,$3.88
859,Fixflex,$6.75
860,Latlux,$5.48
861,Fixflex,$5.76
862,Zathin,$5.23
863,Voyatouch,$8.32
864,Y-find,$1.86
865,Alphazap,$9.38
866,Alpha,$7.32
867,Opela,$7.73
868,Tempsoft,$2.86
869,Treeflex,$2.39
870,Kanlam,$8.99
871,Fixflex,$0.93
872,Namfix,$2.63
873,Regrant,$8.01
874,Stringtough,$3.98
875,Span,$1.89
876,Viva,$4.23
877,Konklab,$3.89
878,Vagram,$9.26
879,Regrant,$1.21
880,Prodder,$8.53
881,Redhold,$8.30
882,Greenlam,$1.91
883,Asoka,$7.36
884,Flowdesk,$0.84
885,Bitchip,$6.56
886,Ventosanzap,$3.53
887,Lotstring,$3.88
888,Daltfresh,$2.73
889,Greenlam,$5.83
890,Daltfresh,$1.41
891,Aerified,$1.12
892,Stronghold,$8.59
893,It,$4.01
894,Voltsillam,$1.07
895,Prodder,$6.32
896,Toughjoyfax,$8.68
897,Overhold,$1.27
898,Alphazap,$6.40
899,Latlux,$7.76
900,Fintone,$0.02
901,Flowdesk,$3.63
902,Solarbreeze,$8.39
903,Home Ing,$7.21
904,Domainer,$0.48
905,Andalax,$0.02
906,Job,$4.68
907,Bitwolf,$3.41
908,Stim,$6.04
909,Holdlamis,$1.98
910,Ventosanzap,$0.55
911,Cardguard,$8.92
912,Bitchip,$0.62
913,Mat Lam Tam,$8.20
914,Flowdesk,$5.49
915,Trippledex,$7.62
916,Transcof,$0.81
917,Transcof,$9.06
918,Fix San,$6.81
919,Ventosanzap,$6.85
920,Domainer,$1.36
921,Subin,$0.27
922,Namfix,$8.31
923,Konklab,$8.95
924,Zathin,$6.84
925,Fintone,$9.59
926,Cardify,$2.41
927,Otcom,$5.52
928,Alpha,$1.10
929,Holdlamis,$1.88
930,Sonair,$6.67
931,Tampflex,$0.95
932,Bitchip,$1.56
933,Cardify,$3.84
934,Quo Lux,$0.46
935,Keylex,$1.64
936,Vagram,$5.55
937,Wrapsafe,$3.11
938,Trippledex,$1.35
939,Biodex,$1.69
940,Trippledex,$5.68
941,Aerified,$3.94
942,Sonair,$8.90
943,Holdlamis,$2.26
944,Flowdesk,$1.59
945,Holdlamis,$8.08
946,Duobam,$2.44
947,Zaam-Dox,$5.52
948,Stronghold,$7.79
949,Quo Lux,$0.48
950,Stronghold,$2.53
951,Transcof,$0.23
952,Quo Lux,$9.31
953,Ventosanzap,$4.74
954,Alpha,$2.84
955,Zathin,$2.79
956,Zoolab,$7.50
957,Ventosanzap,$8.79
958,Job,$1.54
959,Biodex,$1.79
960,Voyatouch,$1.96
961,Bigtax,$8.89
962,Job,$9.79
963,Y-find,$1.63
964,Fixflex,$9.70
965,Opela,$4.34
966,Tempsoft,$5.29
967,Mat Lam Tam,$7.77
968,Vagram,$1.67
969,Subin,$8.96
970,Span,$2.11
971,Wrapsafe,$8.68
972,Y-find,$4.55
973,Toughjoyfax,$6.66
974,Stronghold,$3.63
975,Treeflex,$8.76
976,Latlux,$2.48
977,Bytecard,$0.44
978,Lotlux,$9.05
979,Keylex,$6.63
980,Kanlam,$5.60
981,Job,$9.05
982,Otcom,$3.14
983,Bamity,$3.95
984,Trippledex,$9.84
985,Cardguard,$6.99
986,Fixflex,$5.60
987,Holdlamis,$3.62
988,Voyatouch,$2.41
989,Fixflex,$8.55
990,Domainer,$0.60
991,Solarbreeze,$9.95
992,Cookley,$1.63
993,Bitwolf,$0.76
994,Tres-Zap,$9.70
995,Veribet,$4.22
996,Voyatouch,$4.87
997,Prodder,$6.58
998,Sonsing,$4.59
999,Domainer,$4.54
1000,Ventosanzap,$2.87
